ticker;date;open;high;low;close
NEO;05/08/2017;10.5;15.8;10.21;14.12
NEO;06/08/2017;14.12;17.25;13.3;15.97
NEO;07/08/2017;18.2;19.93;17.41;19.49
NEO;08/08/2017;19.49;20.29;15.68;18.25
NEO;09/08/2017;18.25;23.0;17.26;22.6
NEO;10/08/2017;22.6;41.72;21.51;37.6
NEO;11/08/2017;37.6;40.99;27.75;34.1
NEO;12/08/2017;34.1;38.56;30.7;37.72
NEO;13/08/2017;37.72;56.69;35.31;48.5
NEO;14/08/2017;48.5;54.8;45.4;48.32
NEO;15/08/2017;48.32;49.5;36.54;47.5
NEO;16/08/2017;47.5;52.3;44.62;45.99
NEO;17/08/2017;45.99;46.73;38.63;40.39
NEO;18/08/2017;40.39;41.76;30.54;38.88
NEO;19/08/2017;38.88;42.0;34.07;39.82
NEO;20/08/2017;39.82;41.2;37.99;38.5
NEO;21/08/2017;38.5;38.69;34.0;35.46
NEO;22/08/2017;35.46;36.36;31.5;35.6
NEO;23/08/2017;35.6;44.39;35.11;39.88
NEO;24/08/2017;39.88;42.28;39.36;41.9
NEO;25/08/2017;41.9;42.6;39.29;40.31
NEO;26/08/2017;40.31;40.87;37.0;38.82
NEO;27/08/2017;38.82;41.13;37.0;40.0
NEO;28/08/2017;40.0;40.35;37.0;38.5
NEO;29/08/2017;38.5;38.71;28.1;33.3
NEO;30/08/2017;33.3;36.02;30.0;33.33
NEO;31/08/2017;33.33;35.3;32.7;33.06
NEO;01/09/2017;33.06;33.85;28.7;31.8
NEO;02/09/2017;31.8;34.09;27.29;31.35
NEO;03/09/2017;31.35;32.88;28.45;30.81
NEO;04/09/2017;30.81;30.81;16.5;21.81
NEO;05/09/2017;21.81;24.5;18.5;23.4
NEO;06/09/2017;23.4;24.67;20.1;21.3
NEO;07/09/2017;21.3;34.0;20.21;30.98
NEO;08/09/2017;30.98;31.3;22.43;25.81
NEO;09/09/2017;25.81;25.96;22.27;22.6
NEO;10/09/2017;22.6;24.92;19.63;23.68
NEO;11/09/2017;23.68;24.54;21.52;21.96
NEO;12/09/2017;21.96;23.84;19.56;20.87
NEO;13/09/2017;20.87;21.4;17.64;20.03
NEO;14/09/2017;20.03;20.84;14.75;15.67
NEO;15/09/2017;15.67;19.28;13.12;18.72
NEO;16/09/2017;18.72;23.25;18.23;20.62
NEO;17/09/2017;20.62;20.62;18.17;19.8
NEO;18/09/2017;19.8;21.41;19.45;21.07
NEO;19/09/2017;21.07;21.77;18.89;19.96
NEO;20/09/2017;19.96;20.53;19.55;19.69
NEO;21/09/2017;19.69;19.89;16.57;17.26
NEO;22/09/2017;17.26;19.36;16.97;18.56
NEO;23/09/2017;18.56;20.62;18.22;20.05
NEO;24/09/2017;20.05;20.44;19.14;19.65
NEO;25/09/2017;19.65;27.42;19.59;25.94
NEO;26/09/2017;25.94;27.38;24.32;26.39
NEO;27/09/2017;26.39;34.01;26.38;31.82
NEO;28/09/2017;31.82;32.79;27.59;29.92
NEO;29/09/2017;29.92;30.46;25.96;28.64
NEO;30/09/2017;28.64;34.48;28.4;34.32
NEO;01/10/2017;34.32;35.96;31.84;35.72
NEO;02/10/2017;35.72;38.95;34.62;36.61
NEO;03/10/2017;36.61;36.77;31.88;33.57
NEO;04/10/2017;33.57;35.29;30.1;31.17
NEO;05/10/2017;31.17;33.63;28.83;32.28
NEO;06/10/2017;32.28;34.47;32.08;33.49
NEO;07/10/2017;33.49;36.27;33.16;35.88
NEO;08/10/2017;35.88;37.24;31.03;32.15
NEO;09/10/2017;32.15;32.98;26.64;28.96
NEO;10/10/2017;28.96;31.44;28.03;29.34
NEO;11/10/2017;29.34;31.28;29.32;30.03
NEO;12/10/2017;30.03;30.47;27.57;28.23
NEO;13/10/2017;28.23;29.83;26.7;29.34
NEO;14/10/2017;29.34;29.55;27.56;27.69
NEO;15/10/2017;27.69;28.38;27.01;27.87
NEO;16/10/2017;27.87;29.04;27.04;28.61
NEO;17/10/2017;28.6;32.56;27.7;31.36
NEO;18/10/2017;31.36;31.73;28.3;29.66
NEO;19/10/2017;29.65;30.02;28.52;28.81
NEO;20/10/2017;28.8;29.63;27.74;27.78
NEO;21/10/2017;27.72;28.22;25.87;27.12
NEO;22/10/2017;27.15;29.58;26.97;28.92
NEO;23/10/2017;28.57;28.62;26.51;27.82
NEO;24/10/2017;27.84;32.58;27.04;29.95
NEO;25/10/2017;29.95;30.21;28.51;28.62
NEO;26/10/2017;28.58;29.28;27.87;28.33
NEO;27/10/2017;28.33;29.24;28.23;28.88
NEO;28/10/2017;28.88;28.98;27.17;27.34
NEO;29/10/2017;27.34;28.54;27.1;27.77
NEO;30/10/2017;27.71;29.49;27.71;28.79
NEO;31/10/2017;28.79;31.46;28.31;28.39
NEO;01/11/2017;28.39;28.52;26.68;26.87
NEO;02/11/2017;26.74;26.82;22.61;24.62
NEO;03/11/2017;24.65;26.83;24.3;26.67
NEO;04/11/2017;26.67;27.67;25.81;26.44
NEO;05/11/2017;26.44;26.62;25.65;26.24
NEO;06/11/2017;26.43;26.82;25.95;26.23
NEO;07/11/2017;26.19;26.65;25.06;26.15
NEO;08/11/2017;26.15;32.88;25.97;30.1
NEO;09/11/2017;30.09;33.14;29.2;31.89
NEO;10/11/2017;31.9;32.45;26.46;27.97
NEO;11/11/2017;27.97;29.87;27.19;28.39
NEO;12/11/2017;28.39;28.41;25.04;26.82
NEO;13/11/2017;26.82;28.73;26.53;28.22
NEO;14/11/2017;28.21;29.85;27.79;29.59
NEO;15/11/2017;29.6;30.42;28.13;29.23
NEO;16/11/2017;29.39;29.89;28.4;28.74
NEO;17/11/2017;28.74;41.45;28.37;40.2
NEO;18/11/2017;40.19;48.28;36.06;42.93
NEO;19/11/2017;42.9;45.55;36.73;40.0
NEO;20/11/2017;40.0;43.5;35.38;35.52
NEO;21/11/2017;35.71;37.33;33.47;34.37
NEO;22/11/2017;34.32;37.24;34.32;36.01
NEO;23/11/2017;36.01;36.43;34.16;34.67
NEO;24/11/2017;34.67;35.68;33.38;34.76
NEO;25/11/2017;34.76;40.04;34.55;38.03
NEO;26/11/2017;38.03;39.04;36.93;38.01
NEO;27/11/2017;38.07;41.86;37.82;40.15
NEO;28/11/2017;40.13;40.14;37.06;37.86
NEO;29/11/2017;37.86;39.48;19.46;32.27
NEO;30/11/2017;32.27;34.71;29.37;32.67
NEO;01/12/2017;32.67;36.33;30.77;35.83
NEO;02/12/2017;35.82;36.67;34.35;35.03
NEO;03/12/2017;35.13;39.6;34.84;36.61
NEO;04/12/2017;36.59;43.19;36.55;41.84
NEO;05/12/2017;41.86;42.82;38.25;38.43
NEO;06/12/2017;38.42;38.73;33.92;34.79
NEO;07/12/2017;34.78;36.87;31.75;34.02
NEO;08/12/2017;34.03;36.48;31.73;35.24
NEO;09/12/2017;35.23;38.11;33.82;35.12
NEO;10/12/2017;35.12;35.17;31.56;32.78
NEO;11/12/2017;32.76;36.2;32.76;35.6
NEO;12/12/2017;35.6;39.65;35.06;38.75
NEO;13/12/2017;38.77;48.41;36.05;44.33
NEO;14/12/2017;44.33;53.9;44.05;50.11
NEO;15/12/2017;50.11;51.17;41.42;47.9
NEO;16/12/2017;47.9;51.82;46.42;49.23
NEO;17/12/2017;49.23;74.04;48.71;67.07
NEO;18/12/2017;67.07;83.1;62.04;77.34
NEO;19/12/2017;77.34;84.11;63.79;69.56
NEO;20/12/2017;69.57;77.11;60.76;75.58
NEO;21/12/2017;75.58;78.34;64.95;71.19
NEO;22/12/2017;71.19;72.87;34.93;54.1
NEO;23/12/2017;54.1;65.87;53.76;57.06
NEO;24/12/2017;57.06;58.54;49.05;58.14
NEO;25/12/2017;58.14;67.47;56.02;65.42
NEO;26/12/2017;65.42;67.67;60.38;64.94
NEO;27/12/2017;64.94;69.59;61.69;65.99
NEO;28/12/2017;65.99;66.36;56.12;64.82
NEO;29/12/2017;64.84;74.19;62.01;72.75
NEO;30/12/2017;72.75;73.99;60.46;70.47
NEO;31/12/2017;70.47;77.39;66.54;74.66
NEO;01/01/2018;74.66;80.19;71.86;78.09
NEO;02/01/2018;78.09;98.9;77.92;89.01
NEO;03/01/2018;89.01;106.36;85.94;104.73
NEO;04/01/2018;104.73;110.1;92.61;97.93
NEO;05/01/2018;97.93;106.48;88.94;94.67
NEO;06/01/2018;94.67;102.82;90.98;100.04
NEO;07/01/2018;100.04;108.24;98.22;100.71
NEO;08/01/2018;100.71;107.49;86.18;100.16
NEO;09/01/2018;100.16;130.91;100.08;126.38
NEO;10/01/2018;126.38;126.72;106.15;122.52
NEO;11/01/2018;122.52;124.41;100.07;107.14
NEO;12/01/2018;107.13;126.39;102.64;123.12
NEO;13/01/2018;123.09;146.68;122.77;138.44
NEO;14/01/2018;138.44;168.7;132.61;166.71
NEO;15/01/2018;166.71;197.56;145.08;188.61
NEO;16/01/2018;188.61;189.27;103.5;140.9
NEO;17/01/2018;140.9;154.48;93.42;143.48
NEO;18/01/2018;143.48;160.18;127.06;139.79
NEO;19/01/2018;139.79;150.12;130.88;139.19
NEO;20/01/2018;139.19;157.53;136.34;149.63
NEO;21/01/2018;149.63;149.83;123.85;131.32
NEO;22/01/2018;131.32;137.22;109.85;122.62
NEO;23/01/2018;122.62;129.97;109.37;121.66
NEO;24/01/2018;121.71;145.92;116.92;137.73
NEO;25/01/2018;137.73;146.46;133.97;138.08
NEO;26/01/2018;138.03;141.31;124.29;133.86
NEO;27/01/2018;133.84;142.61;133.81;141.5
