ticker	date	open	high	low	close
UNI	17/09/2020	3.056	3.961	2.452	3.473
UNI	18/09/2020	3.473	8.579	3.232	6.908
UNI	19/09/2020	6.908	7.5	5.232	5.73
UNI	20/09/2020	5.73	6.092	4.656	5.227
UNI	21/09/2020	5.227	5.652	4.084	4.254
UNI	22/09/2020	4.254	4.559	3.687	3.909
UNI	23/09/2020	3.909	5.352	3.905	4.346
UNI	24/09/2020	4.346	5.293	4.264	5.145
UNI	25/09/2020	5.145	5.558	4.766	4.919
UNI	26/09/2020	4.919	4.999	4.684	4.88
UNI	27/09/2020	4.88	5.223	4.709	4.856
UNI	28/09/2020	4.856	4.955	4.184	4.254
UNI	29/09/2020	4.254	4.417	4.124	4.391
UNI	30/09/2020	4.391	4.391	3.954	4.159
UNI	01/10/2020	4.159	4.519	3.908	4.254
UNI	02/10/2020	4.254	4.254	3.573	3.894
UNI	03/10/2020	3.894	4.123	3.834	3.909
UNI	04/10/2020	3.909	3.949	3.614	3.728
UNI	05/10/2020	3.728	3.804	3.185	3.321
UNI	06/10/2020	3.321	3.344	2.633	2.716
UNI	07/10/2020	2.716	3.003	2.482	2.966
UNI	08/10/2020	2.966	3.468	2.646	3.353
UNI	09/10/2020	3.353	3.604	3.178	3.386
UNI	10/10/2020	3.386	3.662	3.269	3.302
UNI	11/10/2020	3.302	3.454	3.181	3.366
UNI	12/10/2020	3.366	3.603	3.285	3.463
UNI	13/10/2020	3.463	3.503	3.296	3.356
UNI	14/10/2020	3.356	3.443	2.973	3.115
UNI	15/10/2020	3.115	3.163	2.918	3.082
UNI	16/10/2020	3.082	3.383	2.89	3.044
UNI	17/10/2020	3.044	3.124	2.973	3.063
UNI	18/10/2020	3.063	3.294	3.05	3.284
UNI	19/10/2020	3.284	3.291	3.113	3.173
UNI	20/10/2020	3.173	3.194	2.814	2.861
UNI	21/10/2020	2.861	3.08	2.85	2.941
UNI	22/10/2020	2.941	3.141	2.926	3.042
UNI	23/10/2020	3.042	3.121	2.966	3.015
UNI	24/10/2020	3.015	3.081	2.934	2.942
UNI	25/10/2020	2.942	2.965	2.723	2.774
UNI	26/10/2020	2.774	2.877	2.526	2.714
UNI	27/10/2020	2.714	2.905	2.701	2.809
UNI	28/10/2020	2.809	2.854	2.595	2.665
UNI	29/10/2020	2.665	2.74	2.486	2.544
UNI	30/10/2020	2.544	2.567	2.256	2.418
UNI	31/10/2020	2.418	2.418	2.239	2.265
UNI	01/11/2020	2.265	2.448	2.219	2.377
UNI	02/11/2020	2.377	2.457	2.228	2.254
UNI	03/11/2020	2.254	2.282	2.061	2.15
UNI	04/11/2020	2.15	2.177	1.887	1.946
UNI	05/11/2020	1.946	2.405	1.768	2.189
UNI	06/11/2020	2.189	2.686	2.175	2.571
UNI	07/11/2020	2.571	3.019	2.448	2.486
UNI	08/11/2020	2.486	2.919	2.44	2.869
UNI	09/11/2020	2.869	2.879	2.58	2.678
UNI	10/11/2020	2.678	3.172	2.629	3.075
UNI	11/11/2020	3.075	3.219	2.891	2.936
UNI	12/11/2020	2.936	3.138	2.84	2.96
UNI	13/11/2020	2.96	3.969	2.937	3.853
UNI	14/11/2020	3.853	3.96	3.516	3.808
UNI	15/11/2020	3.808	4.255	3.615	3.851
UNI	16/11/2020	3.851	3.937	3.447	3.566
UNI	17/11/2020	3.566	3.858	3.488	3.816
UNI	18/11/2020	3.816	3.849	3.275	3.463
UNI	19/11/2020	3.463	3.896	3.233	3.753
UNI	20/11/2020	3.753	4.087	3.677	3.854
UNI	21/11/2020	3.854	3.932	3.593	3.833
UNI	22/11/2020	3.833	3.944	3.439	3.68
UNI	23/11/2020	3.68	4.223	3.633	4.19
UNI	24/11/2020	4.19	4.491	3.951	4.081
UNI	25/11/2020	4.081	4.214	3.543	3.678
UNI	26/11/2020	3.678	3.78	3.113	3.437
UNI	27/11/2020	3.437	3.54	3.168	3.311
UNI	28/11/2020	3.311	3.536	3.258	3.465
UNI	29/11/2020	3.465	3.578	3.362	3.555
UNI	30/11/2020	3.555	3.809	3.523	3.778
UNI	01/12/2020	3.778	3.985	3.461	3.553
UNI	02/12/2020	3.553	4.173	3.503	3.948
UNI	03/12/2020	3.948	4.025	3.804	3.886
UNI	04/12/2020	3.886	3.92	3.499	3.518
UNI	05/12/2020	3.518	3.701	3.451	3.685
UNI	06/12/2020	3.685	3.793	3.511	3.652
UNI	07/12/2020	3.652	3.881	3.567	3.761
UNI	08/12/2020	3.761	3.762	3.28	3.298
UNI	09/12/2020	3.298	3.392	3.118	3.354
UNI	10/12/2020	3.354	3.371	3.191	3.238
UNI	11/12/2020	3.238	3.247	2.915	2.962
UNI	12/12/2020	2.962	3.18	2.962	3.127
