ticker	date	open	high	low	close
ZEN	06/06/2017	18.37	19.52	15.79	16.81
ZEN	07/06/2017	16.81	16.81	12.71	13.0
ZEN	08/06/2017	13.0	15.53	5.399	8.307
ZEN	09/06/2017	8.307	11.39	8.153	8.997
ZEN	10/06/2017	8.997	10.15	7.976	8.176
ZEN	11/06/2017	8.176	10.93	7.481	10.41
ZEN	12/06/2017	10.41	10.91	7.97	9.511
ZEN	13/06/2017	9.511	10.85	8.893	10.23
ZEN	14/06/2017	10.23	10.56	8.142	8.823
ZEN	15/06/2017	8.823	9.489	8.06	8.622
ZEN	16/06/2017	8.622	9.131	8.278	8.421
ZEN	17/06/2017	8.421	9.42	8.236	8.337
ZEN	18/06/2017	8.337	8.604	6.39	6.857
ZEN	19/06/2017	6.857	7.654	6.568	6.861
ZEN	20/06/2017	6.861	7.988	6.861	7.101
ZEN	21/06/2017	7.101	8.25	6.857	6.964
ZEN	22/06/2017	6.964	7.872	6.964	7.477
ZEN	23/06/2017	7.477	9.988	7.443	9.242
ZEN	24/06/2017	9.242	9.242	8.081	8.159
ZEN	25/06/2017	8.159	8.248	6.862	7.119
ZEN	26/06/2017	7.119	7.226	6.115	6.702
ZEN	27/06/2017	6.702	7.079	6.201	6.573
ZEN	28/06/2017	6.573	6.625	5.155	6.269
ZEN	29/06/2017	6.269	7.036	5.628	5.692
ZEN	30/06/2017	5.692	6.003	5.209	5.234
ZEN	01/07/2017	5.234	5.577	4.486	4.767
ZEN	02/07/2017	4.767	5.707	4.54	5.048
ZEN	03/07/2017	5.048	5.454	4.605	4.89
ZEN	04/07/2017	4.89	6.282	4.89	5.632
ZEN	05/07/2017	5.632	6.149	5.563	5.563
ZEN	06/07/2017	5.563	5.563	4.993	5.15
ZEN	07/07/2017	5.15	5.953	4.877	5.028
ZEN	08/07/2017	5.028	5.363	4.619	4.627
ZEN	09/07/2017	4.627	5.191	4.523	4.531
ZEN	10/07/2017	4.531	4.845	3.793	4.297
ZEN	11/07/2017	4.297	4.851	3.761	3.951
ZEN	12/07/2017	3.951	4.47	3.951	4.157
ZEN	13/07/2017	4.157	4.909	4.054	4.054
ZEN	14/07/2017	4.054	4.263	3.798	4.03
ZEN	15/07/2017	4.03	4.03	3.458	3.561
ZEN	16/07/2017	3.561	3.746	3.288	3.288
ZEN	17/07/2017	3.288	4.02	3.288	3.819
ZEN	18/07/2017	3.819	4.274	3.819	3.877
ZEN	19/07/2017	3.877	4.49	3.814	4.084
ZEN	20/07/2017	4.084	5.302	4.084	4.729
ZEN	21/07/2017	4.729	4.729	3.745	4.093
ZEN	22/07/2017	4.093	4.397	4.093	4.255
ZEN	23/07/2017	4.255	4.328	3.945	3.97
ZEN	24/07/2017	3.97	4.104	3.954	3.954
ZEN	25/07/2017	3.954	3.954	3.616	3.667
ZEN	26/07/2017	3.667	4.223	3.634	3.736
ZEN	27/07/2017	3.736	4.172	3.715	3.742
ZEN	28/07/2017	3.742	4.491	3.742	4.21
ZEN	29/07/2017	4.21	4.21	3.827	3.964
ZEN	30/07/2017	3.964	4.053	3.738	3.749
ZEN	31/07/2017	3.749	3.97	3.1	3.319
ZEN	01/08/2017	3.748	3.898	3.162	3.53
ZEN	02/08/2017	3.53	4.331	3.338	3.953
ZEN	03/08/2017	3.953	5.859	3.953	4.864
ZEN	04/08/2017	4.864	5.757	4.864	5.389
ZEN	05/08/2017	5.389	6.118	5.005	5.22
ZEN	06/08/2017	5.22	5.721	5.01	5.123
ZEN	07/08/2017	5.123	5.589	4.538	5.239
ZEN	08/08/2017	5.239	5.634	4.846	5.59
ZEN	09/08/2017	5.59	5.77	4.99	4.99
ZEN	10/08/2017	4.99	5.31	4.796	5.039
ZEN	11/08/2017	5.039	5.843	5.039	5.233
ZEN	12/08/2017	5.233	6.156	5.233	5.846
ZEN	13/08/2017	5.846	6.5	5.846	6.403
ZEN	14/08/2017	6.403	6.821	5.626	5.713
ZEN	15/08/2017	5.713	6.53	4.823	5.993
ZEN	16/08/2017	5.993	7.02	5.269	5.563
ZEN	17/08/2017	5.563	8.536	5.049	7.441
ZEN	18/08/2017	7.441	7.923	6.659	6.741
ZEN	19/08/2017	6.741	7.886	6.724	7.633
ZEN	20/08/2017	7.633	7.767	7.121	7.523
ZEN	21/08/2017	7.523	7.77	6.512	6.693
