cripto_id;fecha;apertura;maximo;minimo;cierre
BTC;2010-07-17;4951;4951;4951;4951
BTC;2010-07-18;4951;8585;4951;8584
BTC;2010-07-19;8584;9307;7723;808
BTC;2010-07-20;808;8181;7426;7474
BTC;2010-07-21;7474;7921;6634;7921
BTC;2010-07-22;7921;8181;505;505
BTC;2010-07-23;505;6767;505;6262
BTC;2010-07-24;6262;6262;5049;5454
BTC;2010-07-25;5454;5941;505;505
BTC;2010-07-26;505;56;5;56
BTC;2010-07-27;56;605;53;6
BTC;2010-07-28;6;62;54;589
BTC;2010-07-29;589;699;571;699
BTC;2010-07-30;699;699;582;627
BTC;2010-07-31;627;6889;56;6785
BTC;2010-08-01;6785;6785;6;611
BTC;2010-08-02;611;633;6;6
BTC;2010-08-03;6;65;59;6
BTC;2010-08-04;6;6231;57;57
BTC;2010-08-05;57;61;57;61
BTC;2010-08-06;61;624;607;623
BTC;2010-08-07;623;623;59;59
BTC;2010-08-08;59;61;59;609
BTC;2010-08-09;609;735;593;71
BTC;2010-08-10;71;71;6651;7
BTC;2010-08-11;7;7541;6;67
BTC;2010-08-12;67;7;6141;7
BTC;2010-08-13;7;7;645;645
BTC;2010-08-14;645;695;645;67
BTC;2010-08-15;67;67;65;6529
BTC;2010-08-16;6529;679;62;655
BTC;2010-08-17;655;769;6243;7
BTC;2010-08-18;7;733;67;68
BTC;2010-08-19;68;68;667;667
BTC;2010-08-20;667;667;65;655
BTC;2010-08-21;655;669;644;664
BTC;2010-08-22;664;664;612;66
BTC;2010-08-23;66;6689;63;6491
BTC;2010-08-24;6491;665;6491;65
BTC;2010-08-25;65;665;641;648
BTC;2010-08-26;648;658;64;64
BTC;2010-08-27;64;65;63;65
BTC;2010-08-28;65;65;641;641
BTC;2010-08-29;641;648;64;64
BTC;2010-08-30;64;69;3211;6497
BTC;2010-08-31;6497;6497;6;6
BTC;2010-09-01;6;629;5961;629
BTC;2010-09-02;629;634;601;634
BTC;2010-09-03;634;634;6085;6085
BTC;2010-09-04;6085;6238;6085;6238
BTC;2010-09-05;6238;64;605;616
BTC;2010-09-06;616;627;616;616
BTC;2010-09-07;616;6201;603;61
BTC;2010-09-08;61;62;6099;62
BTC;2010-09-09;62;624;6109;6111
BTC;2010-09-10;6111;618;6014;618
BTC;2010-09-11;618;65;618;6366
BTC;2010-09-12;6366;6366;615;615
BTC;2010-09-13;615;64;607;6219
BTC;2010-09-14;6219;175;61;6199
BTC;2010-09-15;6199;625;604;604
BTC;2010-09-16;604;619;604;619
BTC;2010-09-17;619;619;59;59
BTC;2010-09-18;59;61;5761;61
BTC;2010-09-19;61;627;6;627
BTC;2010-09-20;627;634;62;621
BTC;2010-09-21;621;633;621;6265
BTC;2010-09-22;6265;6265;6147;622
BTC;2010-09-23;622;63;615;6231
BTC;2010-09-24;6231;624;6209;622
BTC;2010-09-25;622;624;617;6202
BTC;2010-09-26;6202;6228;6186;62
BTC;2010-09-27;62;6228;619;622
BTC;2010-09-28;622;6271;617;619
BTC;2010-09-29;619;62;615;6191
BTC;2010-09-30;6191;6191;6155;619
BTC;2010-10-01;619;62;6189;6197
BTC;2010-10-02;6197;6197;6125;614
BTC;2010-10-03;614;614;61;6111
BTC;2010-10-04;6111;62;6081;613
BTC;2010-10-05;613;6301;609;614
BTC;2010-10-06;614;635;612;6281
BTC;2010-10-07;6281;67;628;67
BTC;2010-10-08;67;88;1;8685
BTC;2010-10-09;8685;12;68;938
BTC;2010-10-10;938;1301;7999;965
BTC;2010-10-11;965;103;91;95
BTC;2010-10-12;95;99;82;949
BTC;2010-10-13;949;105;92;105
BTC;2010-10-14;105;105;65;102
BTC;2010-10-15;102;119;92;105
BTC;2010-10-16;105;105;1;101
BTC;2010-10-17;101;1045;1;102
BTC;2010-10-18;102;103;97;1024
BTC;2010-10-19;1024;1024;97;97
BTC;2010-10-20;97;103;94;99
BTC;2010-10-21;99;109;97;107
BTC;2010-10-22;107;109;1015;1025
BTC;2010-10-23;1025;109;1025;1055
BTC;2010-10-24;1055;19;1055;115
BTC;2010-10-25;115;19;9009;132
BTC;2010-10-26;132;18;132;1503
BTC;2010-10-27;1503;19;1503;1877
BTC;2010-10-28;1877;191;1731;1731
BTC;2010-10-29;1731;19;173;19
BTC;2010-10-30;19;199;1875;1989
BTC;2010-10-31;1989;1989;171;1925
BTC;2010-11-01;1925;1955;172;1955
BTC;2010-11-02;1955;1955;1905;1938
BTC;2010-11-03;1938;275;125;1931
BTC;2010-11-04;1931;236;1931;23
BTC;2010-11-05;23;2639;2101;26
BTC;2010-11-06;26;5;2402;39
BTC;2010-11-07;39;47;286;34
BTC;2010-11-08;34;37;2261;243
BTC;2010-11-09;243;323;199;21
BTC;2010-11-10;21;24;14;24
BTC;2010-11-11;24;24;21;2231
BTC;2010-11-12;2231;29;223;2682
BTC;2010-11-13;2682;3;2682;276
BTC;2010-11-14;276;299;2702;279
BTC;2010-11-15;279;2828;2682;2682
BTC;2010-11-16;2682;275;223;223
BTC;2010-11-17;223;29;2116;2299
BTC;2010-11-18;2299;283;2221;2678
BTC;2010-11-19;2678;28;2678;28
BTC;2010-11-20;28;29;2682;283
BTC;2010-11-21;283;283;2763;2767
BTC;2010-11-22;2767;2879;269;2879
BTC;2010-11-23;2879;2879;276;2829
BTC;2010-11-24;2829;283;2761;283
BTC;2010-11-25;283;283;278;28
BTC;2010-11-26;28;289;2761;2844
BTC;2010-11-27;2844;2844;2826;283
BTC;2010-11-28;283;2846;27;27
BTC;2010-11-29;27;279;2151;2299
BTC;2010-11-30;2299;2299;204;2082
BTC;2010-12-01;2082;2299;2082;2275
BTC;2010-12-02;2275;2553;218;255
BTC;2010-12-03;255;2552;243;251
BTC;2010-12-04;251;2589;205;205
BTC;2010-12-05;205;235;19;19
BTC;2010-12-06;19;225;1841;204
BTC;2010-12-07;204;2477;1701;233
BTC;2010-12-08;233;24;22;2388
BTC;2010-12-09;2388;2388;1701;2
BTC;2010-12-10;2;204;1825;204
BTC;2010-12-11;204;228;1907;228
BTC;2010-12-12;228;228;2068;22
BTC;2010-12-13;22;23;21;2299
BTC;2010-12-14;2299;2468;21;2467
BTC;2010-12-15;2467;2467;238;238
BTC;2010-12-16;238;255;2222;25
BTC;2010-12-17;25;25;24;24
BTC;2010-12-18;24;2488;24;241
BTC;2010-12-19;241;2499;24;2401
BTC;2010-12-20;2401;275;24;267
BTC;2010-12-21;267;267;24;24
BTC;2010-12-22;24;25;24;25
BTC;2010-12-23;25;25;241;25
BTC;2010-12-24;25;25;242;248
BTC;2010-12-25;248;25;2475;2499
BTC;2010-12-26;2499;27;2464;265
BTC;2010-12-27;265;27;251;265
BTC;2010-12-28;265;281;2612;281
BTC;2010-12-29;281;301;271;3
BTC;2010-12-30;3;3;291;3
BTC;2010-12-31;3;3;292;3
BTC;2011-01-01;3;3;292;3
BTC;2011-01-02;3;3;289;3
BTC;2011-01-03;3;3;29;295
BTC;2011-01-04;295;2999;289;2989
BTC;2011-01-05;2989;299;29;299
BTC;2011-01-06;299;299;29;298
BTC;2011-01-07;298;322;2975;32
BTC;2011-01-08;32;3229;309;3229
BTC;2011-01-09;3229;323;3229;323
BTC;2011-01-10;323;329;3175;3266
BTC;2011-01-11;3266;3266;3176;3266
BTC;2011-01-12;3266;3557;318;3188
BTC;2011-01-13;3188;405;3176;3176
BTC;2011-01-14;3176;45;3176;4
BTC;2011-01-15;4;4;385;386
BTC;2011-01-16;386;4;386;3868
BTC;2011-01-17;3868;3868;315;3495
BTC;2011-01-18;3495;3495;305;313
BTC;2011-01-19;313;313;305;313
BTC;2011-01-20;313;39;31;39
BTC;2011-01-21;39;44;368;4199
BTC;2011-01-22;4199;4443;39;4443
BTC;2011-01-23;4443;4443;42;4424
BTC;2011-01-24;4424;4424;381;4199
BTC;2011-01-25;4199;425;4;41
BTC;2011-01-26;41;42;3904;417
BTC;2011-01-27;417;45;4085;4212
BTC;2011-01-28;4212;446;4212;446
BTC;2011-01-29;446;446;43;439
BTC;2011-01-30;439;48;439;4799
BTC;2011-01-31;4799;95;47;52
BTC;2011-02-01;52;85;52;7
BTC;2011-02-02;7;76;69;716
BTC;2011-02-03;716;75;6501;69
BTC;2011-02-04;69;88;67;811
BTC;2011-02-05;811;92;811;92
BTC;2011-02-06;92;92;83;8997
BTC;2011-02-07;8997;9;83;89
BTC;2011-02-08;89;918;8617;918
BTC;2011-02-09;918;109;82;109
BTC;2011-02-10;109;11;8;9803
BTC;2011-02-11;9803;109;9264;107
BTC;2011-02-12;107;108;9906;108
BTC;2011-02-13;108;108;102;105
BTC;2011-02-14;105;108;103;107
BTC;2011-02-15;107;109;103;105
BTC;2011-02-16;105;105;102;105
BTC;2011-02-17;105;105;102;104
BTC;2011-02-18;104;104;7801;8989
BTC;2011-02-19;8989;98;8376;949
BTC;2011-02-20;949;949;83;85
BTC;2011-02-21;85;8796;8313;8345
BTC;2011-02-22;8345;95;8313;8702
BTC;2011-02-23;8702;945;8681;9
BTC;2011-02-24;9;10;9;9974
BTC;2011-02-25;9974;9998;9111;9111
BTC;2011-02-26;9111;97;9106;958
BTC;2011-02-27;958;958;89;89
BTC;2011-02-28;89;92;845;86
BTC;2011-03-01;86;97;8502;9202
BTC;2011-03-02;9202;94;9102;9399
BTC;2011-03-03;9399;9399;91;9391
BTC;2011-03-04;9391;9391;9001;901
BTC;2011-03-05;901;9189;8111;9103
BTC;2011-03-06;9103;9103;81;8999
BTC;2011-03-07;8999;909;846;885
BTC;2011-03-08;885;885;85;87
BTC;2011-03-09;87;87;85;8645
BTC;2011-03-10;8645;9329;8497;9329
BTC;2011-03-11;9329;9329;8601;88
BTC;2011-03-12;88;9197;88;918
BTC;2011-03-13;918;918;8898;8925
BTC;2011-03-14;8925;9;88;8949
BTC;2011-03-15;8949;8949;87;87
BTC;2011-03-16;87;88;836;86
BTC;2011-03-17;86;88;81;8254
BTC;2011-03-18;8254;8506;71;8165
BTC;2011-03-19;8165;8165;7313;765
BTC;2011-03-20;765;79;7402;7411
BTC;2011-03-21;7411;7724;7405;759
BTC;2011-03-22;759;81;7405;809
BTC;2011-03-23;809;85;78;8497
BTC;2011-03-24;8497;9;8266;8669
BTC;2011-03-25;8669;89;861;8838
